household_id;municipality_id;grid_id;HLA;HSC;HSI;age;FAM;SEX;AG2;EMP
051700032032-0;051700032032;100mN31651E40852;S;NA;1;32;M;M;3039;EMP
051700032032-1;051700032032;100mN31645E40850;MC;NA;2;33;M;M;3039;EMP
051700032032-1;051700032032;100mN31645E40850;MC;NA;2;28;M;F;2529;NEP
051700032032-2;051700032032;100mN31650E40845;MC;NA;2;40;M;F;4049;NEP
051700032032-2;051700032032;100mN31650E40845;MC;NA;2;48;M;M;4049;EMP
051700032032-3;051700032032;100mN31646E40838;MC;MIX;6;72;S;F;6574;NEP
051700032032-3;051700032032;100mN31646E40838;MC;MIX;6;61;M;F;5064;EMP
051700032032-3;051700032032;100mN31646E40838;MC;MIX;6;63;M;M;5064;NEP
051700032032-3;051700032032;100mN31646E40838;MC;MIX;6;3;S;M;0305;NEP
051700032032-3;051700032032;100mN31646E40838;MC;MIX;6;7;S;M;0614;NEP
051700032032-3;051700032032;100mN31646E40838;MC;MIX;6;15;S;F;1517;EMP
051700032032-4;051700032032;100mN31647E40837;S;NA;1;54;S;F;5064;NEP
051700032032-5;051700032032;100mN31644E40841;S;OS;1;52;S;M;5064;EMP
051700032032-6;051700032032;100mN31676E40840;MC;NA;4;41;M;F;4049;NEP
051700032032-6;051700032032;100mN31676E40840;MC;NA;4;41;M;M;4049;NEP
051700032032-6;051700032032;100mN31676E40840;MC;NA;4;11;S;M;0614;NEP
051700032032-6;051700032032;100mN31676E40840;MC;NA;4;13;S;M;0614;NEP
051700032032-7;051700032032;100mN31651E40855;MC;MIX;2;71;M;M;6574;NEP
051700032032-7;051700032032;100mN31651E40855;MC;MIX;2;72;M;F;6574;EMP
051700032032-8;051700032032;100mN31654E40850;MC;NA;3;33;M;F;3039;EMP
051700032032-8;051700032032;100mN31654E40850;MC;NA;3;40;M;M;4049;EMP
051700032032-8;051700032032;100mN31654E40850;MC;NA;3;18;M;M;1824;NEP
051700032032-9;051700032032;100mN31651E40841;PO;NA;2;61;S;M;5064;EMP
051700032032-9;051700032032;100mN31651E40841;PO;NA;2;63;S;M;5064;EMP
051700032032-10;051700032032;100mN31651E40841;MC;NA;3;44;M;F;4049;NEP
051700032032-10;051700032032;100mN31651E40841;MC;NA;3;45;M;M;4049;EMP
051700032032-10;051700032032;100mN31651E40841;MC;NA;3;11;S;F;0614;NEP
051700032032-11;051700032032;100mN31651E40841;MC;OS;5;81;M;M;75XX;NEP
051700032032-11;051700032032;100mN31651E40841;MC;OS;5;75;M;F;75XX;EMP
051700032032-11;051700032032;100mN31651E40841;MC;OS;5;69;W;F;6574;NEP
051700032032-11;051700032032;100mN31651E40841;MC;OS;5;83;W;F;75XX;EMP
051700032032-11;051700032032;100mN31651E40841;MC;OS;5;73;M;M;6574;NEP
051700032032-12;051700032032;100mN31648E40842;S;OS;1;78;M;F;75XX;EMP
051700032032-13;051700032032;100mN31650E40838;MC;NA;2;43;M;M;4049;EMP
051700032032-13;051700032032;100mN31650E40838;MC;NA;2;41;M;F;4049;EMP
051700032032-14;051700032032;100mN31621E40912;SF;NA;3;61;W;F;5064;EMP
051700032032-14;051700032032;100mN31621E40912;SF;NA;3;7;S;M;0614;NEP
051700032032-14;051700032032;100mN31621E40912;SF;NA;3;9;S;M;0614;NEP
051700032032-15;051700032032;100mN31636E40813;S;NA;1;69;W;F;6574;EMP
051700032032-16;051700032032;100mN31651E40841;MC;NA;3;44;M;M;4049;NEP
051700032032-16;051700032032;100mN31651E40841;MC;NA;3;42;M;F;4049;EMP
051700032032-16;051700032032;100mN31651E40841;MC;NA;3;3;S;F;0305;NEP
051700032032-17;051700032032;100mN31651E40841;S;OS;1;42;S;F;4049;EMP
051700032032-18;051700032032;100mN31651E40841;S;NA;1;34;S;F;3039;NEP
051700032032-19;051700032032;100mN31651E40841;MC;NA;2;53;M;F;5064;EMP
051700032032-19;051700032032;100mN31651E40841;MC;NA;2;53;M;M;5064;EMP
051700032032-20;051700032032;100mN31651E40841;MC;OS;2;81;M;M;75XX;EMP
051700032032-20;051700032032;100mN31651E40841;MC;OS;2;80;M;F;75XX;EMP
051700032032-21;051700032032;100mN31647E40853;S;NA;1;48;M;M;4049;EMP
051700032032-22;051700032032;100mN31651E40841;MC;NA;3;44;M;M;4049;EMP
